case_id,plate_id,well,raw_signal
layout_confounding_noisy,plate_01,A01,1.0699161939
layout_confounding_noisy,plate_01,A02,0.917197331629
layout_confounding_noisy,plate_01,A03,1.04143416791
layout_confounding_noisy,plate_01,A04,1.04732296987
layout_confounding_noisy,plate_01,A05,1.09642145911
layout_confounding_noisy,plate_01,A06,1.00629442865
layout_confounding_noisy,plate_01,A07,1.07491013853
layout_confounding_noisy,plate_01,A08,0.944937846436
layout_confounding_noisy,plate_01,A09,0.200076612611
layout_confounding_noisy,plate_01,A10,0.127233428821
layout_confounding_noisy,plate_01,A11,0.126661495093
layout_confounding_noisy,plate_01,A12,0.249512101645
layout_confounding_noisy,plate_01,B01,0.151574672171
layout_confounding_noisy,plate_01,B02,0.158933809521
layout_confounding_noisy,plate_01,B03,0.256088496048
layout_confounding_noisy,plate_01,B04,0.108068143664
layout_confounding_noisy,plate_01,B05,1.01716251003
layout_confounding_noisy,plate_01,B06,0.931475167984
layout_confounding_noisy,plate_01,B07,0.934915516037
layout_confounding_noisy,plate_01,B08,0.997323420952
layout_confounding_noisy,plate_01,B09,0.899157060412
layout_confounding_noisy,plate_01,B10,0.937774207641
layout_confounding_noisy,plate_01,B11,1.03808115949
layout_confounding_noisy,plate_01,B12,0.919014034497
layout_confounding_noisy,plate_01,C01,1.00407790507
layout_confounding_noisy,plate_01,C02,0.979649195967
layout_confounding_noisy,plate_01,C03,0.9185412712
layout_confounding_noisy,plate_01,C04,0.992903663234
layout_confounding_noisy,plate_01,C05,1.02706131064
layout_confounding_noisy,plate_01,C06,1.04135479604
layout_confounding_noisy,plate_01,C07,0.908593253665
layout_confounding_noisy,plate_01,C08,0.716436874252
layout_confounding_noisy,plate_01,C09,0.887486910328
layout_confounding_noisy,plate_01,C10,0.857953920458
layout_confounding_noisy,plate_01,C11,0.840043004827
layout_confounding_noisy,plate_01,C12,0.745608517526
layout_confounding_noisy,plate_01,D01,0.602144604895
layout_confounding_noisy,plate_01,D02,0.604844116913
layout_confounding_noisy,plate_01,D03,0.549638985402
layout_confounding_noisy,plate_01,D04,0.61697106218
layout_confounding_noisy,plate_01,D05,0.492592719424
layout_confounding_noisy,plate_01,D06,0.318516659924
layout_confounding_noisy,plate_01,D07,0.36246034031
layout_confounding_noisy,plate_01,D08,0.198176410312
layout_confounding_noisy,plate_01,D09,0.290152590159
layout_confounding_noisy,plate_01,D10,0.362581393102
layout_confounding_noisy,plate_01,D11,0.165112253226
layout_confounding_noisy,plate_01,D12,0.180796569528
layout_confounding_noisy,plate_01,E01,0.223203591319
layout_confounding_noisy,plate_01,E02,0.268947588769
layout_confounding_noisy,plate_01,E03,0.27387624725
layout_confounding_noisy,plate_01,E04,0.110693216085
layout_confounding_noisy,plate_01,E05,0.071805712461
layout_confounding_noisy,plate_01,E06,0.233229771539
layout_confounding_noisy,plate_01,E07,0.225018693031
layout_confounding_noisy,plate_01,E08,0.168282229369
layout_confounding_noisy,plate_01,E09,1.0581689153
layout_confounding_noisy,plate_01,E10,1.05053340707
layout_confounding_noisy,plate_01,E11,0.944025558586
layout_confounding_noisy,plate_01,E12,1.09324483791
layout_confounding_noisy,plate_01,F01,0.920541205919
layout_confounding_noisy,plate_01,F02,0.937197116962
layout_confounding_noisy,plate_01,F03,1.08668282227
layout_confounding_noisy,plate_01,F04,1.03859947581
layout_confounding_noisy,plate_01,F05,0.948117811769
layout_confounding_noisy,plate_01,F06,1.02967642334
layout_confounding_noisy,plate_01,F07,1.05102464202
layout_confounding_noisy,plate_01,F08,0.904841228014
layout_confounding_noisy,plate_01,F09,1.0269053325
layout_confounding_noisy,plate_01,F10,0.929711920147
layout_confounding_noisy,plate_01,F11,0.993409066959
layout_confounding_noisy,plate_01,F12,1.04342213887
layout_confounding_noisy,plate_01,G01,0.957956056365
layout_confounding_noisy,plate_01,G02,0.992267244881
layout_confounding_noisy,plate_01,G03,1.02468518191
layout_confounding_noisy,plate_01,G04,1.06397523809
layout_confounding_noisy,plate_01,G05,0.916635911381
layout_confounding_noisy,plate_01,G06,0.782903097455
layout_confounding_noisy,plate_01,G07,0.886280971789
layout_confounding_noisy,plate_01,G08,0.837384282516
layout_confounding_noisy,plate_01,G09,0.798662385471
layout_confounding_noisy,plate_01,G10,0.640022902119
layout_confounding_noisy,plate_01,G11,0.666964047273
layout_confounding_noisy,plate_01,G12,0.570427384117
layout_confounding_noisy,plate_01,H01,0.71622064652
layout_confounding_noisy,plate_01,H02,0.485332950017
layout_confounding_noisy,plate_01,H03,0.487396614916
layout_confounding_noisy,plate_01,H04,0.347573856314
layout_confounding_noisy,plate_01,H05,0.270618495088
layout_confounding_noisy,plate_01,H06,0.264032968611
layout_confounding_noisy,plate_01,H07,0.270557518417
layout_confounding_noisy,plate_01,H08,0.264781889327
layout_confounding_noisy,plate_01,H09,0.220048656423
layout_confounding_noisy,plate_01,H10,0.184841121069
layout_confounding_noisy,plate_01,H11,0.130337782517
layout_confounding_noisy,plate_01,H12,0.242395568069
